x,y,image,r,g,b,clear
0,-10,1,128,128,128,0
2,-10,1,128,128,128,0
4,-10,1,128,128,128,0
6,-10,1,128,128,128,0
8,-10,1,128,128,128,0
10,-10,1,128,128,128,0
12,-10,1,128,128,128,0
14,-10,1,128,128,128,0
16,-10,1,128,128,128,0
18,-10,1,128,128,128,0
20,-10,1,128,128,128,0
22,-10,1,128,128,128,0
24,-10,1,128,128,128,0
26,-10,1,128,128,128,0
28,-10,1,128,128,128,0
30,-10,1,128,128,128,0
32,-10,1,128,128,128,0
34,-10,1,128,128,128,0
36,-10,1,128,128,128,0
38,-10,1,128,128,128,0
40,-10,1,128,128,128,0
42,-10,1,128,128,128,0
44,-10,1,128,128,128,0
46,-10,1,128,128,128,0
48,-10,1,128,128,128,0
50,-10,1,128,128,128,0
52,-10,1,128,128,128,0
54,-10,1,128,128,128,0
56,-10,1,128,128,128,0
58,-10,1,128,128,128,0
60,-10,1,128,128,128,0
62,-10,1,128,128,128,0
64,-10,1,128,128,128,0
66,-10,1,128,128,128,0
68,-10,1,128,128,128,0
70,-10,1,128,128,128,0
72,-10,1,128,128,128,0
74,-10,1,128,128,128,0
76,-10,1,128,128,128,0
78,-10,1,128,128,128,0
80,-10,1,128,128,128,0
82,-10,1,128,128,128,0
84,-10,1,128,128,128,0
86,-10,1,128,128,128,0
88,-10,1,128,128,128,0
90,-10,1,128,128,128,0
92,-10,1,128,128,128,0
94,-10,1,128,128,128,0
96,-10,1,128,128,128,0
98,-10,1,128,128,128,0
100,-10,1,128,128,128,0
102,-10,1,128,128,128,0
104,-10,1,128,128,128,0
106,-10,1,128,128,128,0
108,-10,1,128,128,128,0
110,-10,1,128,128,128,0
112,-10,1,128,128,128,0
114,-10,1,128,128,128,0
116,-10,1,128,128,128,0
118,-10,1,128,128,128,0
120,-10,1,128,128,128,0
122,-10,1,128,128,128,0
124,-10,1,128,128,128,0
126,-10,1,128,128,128,0
128,-10,1,128,128,128,0
130,-10,1,128,128,128,0
132,-10,1,128,128,128,0
134,-10,1,128,128,128,0
136,-10,1,128,128,128,0
138,-10,1,128,128,128,0
140,-10,1,128,128,128,0
142,-10,1,128,128,128,0
144,-10,1,128,128,128,0
146,-10,1,128,128,128,0
148,-10,1,128,128,128,0
150,-10,1,128,128,128,0
152,-10,1,128,128,128,0
154,-10,1,128,128,128,0
156,-10,1,128,128,128,0
158,-10,1,128,128,128,0
160,-10,1,128,128,128,0
162,-10,1,128,128,128,0
164,-10,1,128,128,128,0
166,-10,1,128,128,128,0
168,-10,1,128,128,128,0
170,-10,1,128,128,128,0
172,-10,1,128,128,128,0
174,-10,1,128,128,128,0
176,-10,1,128,128,128,0
178,-10,1,128,128,128,0
180,-10,1,128,128,128,0
182,-10,1,128,128,128,0
184,-10,1,128,128,128,0
186,-10,1,128,128,128,0
188,-10,1,128,128,128,0
190,-10,1,128,128,128,0
192,-10,1,128,128,128,0
194,-10,1,128,128,128,0
196,-10,1,128,128,128,0
198,-10,1,128,128,128,0
0,-8,1,128,128,128,0
2,-8,1,128,128,128,0
4,-8,1,128,128,128,0
6,-8,1,128,128,128,0
8,-8,1,128,128,128,0
10,-8,1,128,128,128,0
12,-8,1,128,128,128,0
14,-8,1,128,128,128,0
16,-8,1,128,128,128,0
18,-8,1,128,128,128,0
20,-8,1,128,128,128,0
22,-8,1,128,128,128,0
24,-8,1,128,128,128,0
26,-8,1,128,128,128,0
28,-8,1,128,128,128,0
30,-8,1,128,128,128,0
32,-8,1,128,128,128,0
34,-8,1,128,128,128,0
36,-8,1,128,128,128,0
38,-8,1,128,128,128,0
40,-6,1,128,128,128,0
42,-8,1,128,128,128,0
44,-8,1,128,128,128,0
46,-8,1,128,128,128,0
48,-8,1,128,128,128,0
50,-8,1,128,128,128,0
52,-8,1,128,128,128,0
54,-8,1,128,128,128,0
56,-8,1,128,128,128,0
58,-8,1,128,128,128,0
60,-8,1,128,128,128,0
62,-8,1,128,128,128,0
64,-8,1,128,128,128,0
66,-8,1,128,128,128,0
68,-8,1,128,128,128,0
70,-8,1,128,128,128,0
72,-8,1,128,128,128,0
74,-8,1,128,128,128,0
76,-8,1,128,128,128,0
78,-8,1,128,128,128,0
80,-8,1,128,128,128,0
82,-8,1,128,128,128,0
84,-8,1,128,128,128,0
86,-8,1,128,128,128,0
88,-8,1,128,128,128,0
90,-8,1,128,128,128,0
92,-8,1,128,128,128,0
94,-8,1,128,128,128,0
96,-8,1,128,128,128,0
98,-8,1,128,128,128,0
100,-8,1,128,128,128,0
102,-8,1,128,128,128,0
104,-8,1,128,128,128,0
106,-8,1,128,128,128,0
108,-8,1,128,128,128,0
110,-8,1,128,128,128,0
112,-8,1,128,128,128,0
114,-8,1,128,128,128,0
116,-8,1,128,128,128,0
118,-8,1,128,128,128,0
120,-8,1,128,128,128,0
122,-8,1,128,128,128,0
124,-8,1,128,128,128,0
126,-8,1,128,128,128,0
128,-8,1,128,128,128,0
130,-8,1,128,128,128,0
132,-8,1,128,128,128,0
134,-8,1,128,128,128,0
136,-8,1,128,128,128,0
138,-8,1,128,128,128,0
140,-8,1,128,128,128,0
142,-8,1,128,128,128,0
144,-8,1,128,128,128,0
146,-8,1,128,128,128,0
148,-8,1,128,128,128,0
150,-8,1,128,128,128,0
152,-8,1,128,128,128,0
154,-8,1,128,128,128,0
156,-8,1,128,128,128,0
158,-8,1,128,128,128,0
160,-8,1,128,128,128,0
162,-8,1,128,128,128,0
164,-8,1,128,128,128,0
166,-8,1,128,128,128,0
168,-8,1,128,128,128,0
170,-8,1,128,128,128,0
172,-8,1,128,128,128,0
174,-8,1,128,128,128,0
176,-8,1,128,128,128,0
178,-8,1,128,128,128,0
180,-8,1,128,128,128,0
182,-8,1,128,128,128,0
184,-8,1,128,128,128,0
186,-8,1,128,128,128,0
188,-8,1,128,128,128,0
190,-8,1,128,128,128,0
192,-8,1,128,128,128,0
194,-8,1,128,128,128,0
196,-8,1,128,128,128,0
198,-8,1,128,128,128,0
0,-6,1,128,128,128,0
2,-6,1,128,128,128,0
4,-6,1,128,128,128,0
6,-6,1,128,128,128,0
8,-6,1,128,128,128,0
10,-6,1,128,128,128,0
12,-6,1,128,128,128,0
14,-6,1,128,128,128,0
16,-6,1,128,128,128,0
18,-6,1,128,128,128,0
20,-6,1,128,128,128,0
22,-6,1,128,128,128,0
24,-6,1,128,128,128,0
26,-6,1,128,128,128,0
28,-6,1,128,128,128,0
30,-6,1,128,128,128,0
32,-6,1,128,128,128,0
34,-6,1,128,128,128,0
36,-6,1,128,128,128,0
38,-6,1,128,128,128,0
40,-6,1,128,128,128,0
42,-6,1,128,128,128,0
44,-6,1,128,128,128,0
46,-6,1,128,128,128,0
48,-6,1,128,128,128,0
50,-6,1,128,128,128,0
52,-6,1,128,128,128,0
54,-6,1,128,128,128,0
56,-6,1,128,128,128,0
58,-6,1,128,128,128,0
60,-6,1,128,128,128,0
62,-6,1,128,128,128,0
64,-6,1,128,128,128,0
66,-6,1,128,128,128,0
68,-6,1,128,128,128,0
70,-6,1,128,128,128,0
72,-6,1,128,128,128,0
74,-6,1,128,128,128,0
76,-6,1,128,128,128,0
78,-6,1,128,128,128,0
80,-6,1,128,128,128,0
82,-6,1,128,128,128,0
84,-6,1,128,128,128,0
86,-6,1,128,128,128,0
88,-6,1,128,128,128,0
90,-6,1,128,128,128,0
92,-6,1,128,128,128,0
94,-6,1,128,128,128,0
96,-6,1,128,128,128,0
98,-6,1,128,128,128,0
100,-6,1,128,128,128,0
102,-6,1,128,128,128,0
104,-6,1,128,128,128,0
106,-6,1,128,128,128,0
108,-6,1,128,128,128,0
110,-6,1,128,128,128,0
112,-6,1,128,128,128,0
114,-6,1,128,128,128,0
116,-6,1,128,128,128,0
118,-6,1,128,128,128,0
120,-6,1,128,128,128,0
122,-6,1,128,128,128,0
124,-6,1,128,128,128,0
126,-6,1,128,128,128,0
128,-6,1,128,128,128,0
130,-6,1,128,128,128,0
132,-6,1,128,128,128,0
134,-6,1,128,128,128,0
136,-6,1,128,128,128,0
138,-6,1,128,128,128,0
140,-6,1,128,128,128,0
142,-6,1,128,128,128,0
144,-6,1,128,128,128,0
146,-6,1,128,128,128,0
148,-6,1,128,128,128,0
150,-6,1,128,128,128,0
152,-6,1,128,128,128,0
154,-6,1,128,128,128,0
156,-6,1,128,128,128,0
158,-6,1,128,128,128,0
160,-6,1,128,128,128,0
162,-6,1,128,128,128,0
164,-6,1,128,128,128,0
166,-6,1,128,128,128,0
168,-6,1,128,128,128,0
170,-6,1,128,128,128,0
172,-6,1,128,128,128,0
174,-6,1,128,128,128,0
176,-6,1,128,128,128,0
178,-6,1,128,128,128,0
180,-6,1,128,128,128,0
182,-6,1,128,128,128,0
184,-6,1,128,128,128,0
186,-6,1,128,128,128,0
188,-6,1,128,128,128,0
190,-6,1,128,128,128,0
192,-6,1,128,128,128,0
194,-6,1,128,128,128,0
196,-6,1,128,128,128,0
198,-6,1,128,128,128,0
0,-4,1,128,128,128,0
2,-4,1,128,128,128,0
4,-4,1,128,128,128,0
6,-4,1,128,128,128,0
8,-4,1,128,128,128,0
10,-4,1,128,128,128,0
12,-4,1,128,128,128,0
14,-4,1,128,128,128,0
16,-4,1,128,128,128,0
18,-4,1,128,128,128,0
20,-4,1,128,128,128,0
22,-4,1,128,128,128,0
24,-4,1,128,128,128,0
26,-4,1,128,128,128,0
28,-4,1,128,128,128,0
30,-4,1,128,128,128,0
32,-4,1,128,128,128,0
34,-4,1,128,128,128,0
36,-4,1,128,128,128,0
38,-4,1,128,128,128,0
40,-4,1,128,128,128,0
42,-4,1,128,128,128,0
44,-4,1,128,128,128,0
46,-4,1,128,128,128,0
48,-4,1,128,128,128,0
50,-4,1,128,128,128,0
52,-4,1,128,128,128,0
54,-4,1,128,128,128,0
56,-4,1,128,128,128,0
58,-4,1,128,128,128,0
60,-4,1,128,128,128,0
62,-4,1,128,128,128,0
64,-4,1,128,128,128,0
66,-4,1,128,128,128,0
68,-4,1,128,128,128,0
70,-4,1,128,128,128,0
72,-4,1,128,128,128,0
74,-4,1,128,128,128,0
76,-4,1,128,128,128,0
78,-4,1,128,128,128,0
80,-4,1,128,128,128,0
82,-4,1,128,128,128,0
84,-4,1,128,128,128,0
86,-4,1,128,128,128,0
88,-4,1,128,128,128,0
90,-4,1,128,128,128,0
92,-4,1,128,128,128,0
94,-4,1,128,128,128,0
96,-4,1,128,128,128,0
98,-4,1,128,128,128,0
100,-4,1,128,128,128,0
102,-4,1,128,128,128,0
104,-4,1,128,128,128,0
106,-4,1,128,128,128,0
108,-4,1,128,128,128,0
110,-4,1,128,128,128,0
112,-4,1,128,128,128,0
114,-4,1,128,128,128,0
116,-4,1,128,128,128,0
118,-4,1,128,128,128,0
120,-4,1,128,128,128,0
122,-4,1,128,128,128,0
124,-4,1,128,128,128,0
126,-4,1,128,128,128,0
128,-4,1,128,128,128,0
130,-4,1,128,128,128,0
132,-4,1,128,128,128,0
134,-4,1,128,128,128,0
136,-4,1,128,128,128,0
138,-4,1,128,128,128,0
140,-4,1,128,128,128,0
142,-4,1,128,128,128,0
144,-4,1,128,128,128,0
146,-4,1,128,128,128,0
148,-4,1,128,128,128,0
150,-4,1,128,128,128,0
152,-4,1,128,128,128,0
154,-4,1,128,128,128,0
156,-4,1,128,128,128,0
158,-4,1,128,128,128,0
160,-4,1,128,128,128,0
162,-4,1,128,128,128,0
164,-4,1,128,128,128,0
166,-4,1,128,128,128,0
168,-4,1,128,128,128,0
170,-4,1,128,128,128,0
172,-4,1,128,128,128,0
174,-4,1,128,128,128,0
176,-4,1,128,128,128,0
178,-4,1,128,128,128,0
180,-4,1,128,128,128,0
182,-4,1,128,128,128,0
184,-4,1,128,128,128,0
186,-4,1,128,128,128,0
188,-4,1,128,128,128,0
190,-4,1,128,128,128,0
192,-4,1,128,128,128,0
194,-4,1,128,128,128,0
196,-4,1,128,128,128,0
198,-4,1,128,128,128,0
0,-2,1,128,128,128,0
2,-2,1,128,128,128,0
4,-2,1,128,128,128,0
6,-2,1,128,128,128,0
8,-2,1,128,128,128,0
10,-2,1,128,128,128,0
12,-2,1,128,128,128,0
14,-2,1,128,128,128,0
16,-2,1,128,128,128,0
18,-2,1,128,128,128,0
20,-2,1,128,128,128,0
22,-2,1,128,128,128,0
24,-2,1,128,128,128,0
26,-2,1,128,128,128,0
28,-2,1,128,128,128,0
30,-2,1,128,128,128,0
32,-2,1,128,128,128,0
34,-2,1,128,128,128,0
36,-2,1,128,128,128,0
38,-2,1,128,128,128,0
40,-2,1,128,128,128,0
42,-2,1,128,128,128,0
44,-2,1,128,128,128,0
46,-2,1,128,128,128,0
48,-2,1,128,128,128,0
50,-2,1,128,128,128,0
52,-2,1,128,128,128,0
54,-2,1,128,128,128,0
56,-2,1,128,128,128,0
58,-2,1,128,128,128,0
60,-2,1,128,128,128,0
62,-2,1,128,128,128,0
64,-2,1,128,128,128,0
66,-2,1,128,128,128,0
68,-2,1,128,128,128,0
70,-2,1,128,128,128,0
72,-2,1,128,128,128,0
74,-2,1,128,128,128,0
76,-2,1,128,128,128,0
78,-2,1,128,128,128,0
80,-2,1,128,128,128,0
82,-2,1,128,128,128,0
84,-2,1,128,128,128,0
86,-2,1,128,128,128,0
88,-2,1,128,128,128,0
90,-2,1,128,128,128,0
92,-2,1,128,128,128,0
94,-2,1,128,128,128,0
96,-2,1,128,128,128,0
98,-2,1,128,128,128,0
100,-2,1,128,128,128,0
102,-2,1,128,128,128,0
104,-2,1,128,128,128,0
106,-2,1,128,128,128,0
108,-2,1,128,128,128,0
110,-2,1,128,128,128,0
112,-2,1,128,128,128,0
114,-2,1,128,128,128,0
116,-2,1,128,128,128,0
118,-2,1,128,128,128,0
120,-2,1,128,128,128,0
122,-2,1,128,128,128,0
124,-2,1,128,128,128,0
126,-2,1,128,128,128,0
128,-2,1,128,128,128,0
130,-2,1,128,128,128,0
132,-2,1,128,128,128,0
134,-2,1,128,128,128,0
136,-2,1,128,128,128,0
138,-2,1,128,128,128,0
140,-2,1,128,128,128,0
142,-2,1,128,128,128,0
144,-2,1,128,128,128,0
146,-2,1,128,128,128,0
148,-2,1,128,128,128,0
150,-2,1,128,128,128,0
152,-2,1,128,128,128,0
154,-2,1,128,128,128,0
156,-2,1,128,128,128,0
158,-2,1,128,128,128,0
160,-2,1,128,128,128,0
